ID;locale;name;description
2001;de;Industriesensor X1;Hochpräziser Näherungssensor für raue Umgebungen.
2001;fr;Capteur industriel X1;Capteur de proximité de haute précision pour environnements sévères.
2001;ja;産業用センサー X1;過酷な環境向け高精度近接センサー。
2005;de;Hydraulikpumpe P200;Verstellpumpe, 200 bar.
2005;fr;Pompe hydraulique P200;Pompe à cylindrée variable, 200 bar.
2005;ja;油圧ポンプ P200;可変容量型油圧ポンプ、200 bar。
2007;de;SPS-Steuerung C-7;Kompakte SPS, 16 E/A.
2011;de;ERP-Finanzmodul;Benutzerlizenz für das ERP-Finanzmodul.
2011;fr;Module ERP Finance;Licence utilisateur du module Finance.
2014;de;Analytics Studio;Self-Service-BI- und Reporting-Suite (pro Benutzer).
2014;fr;Analytics Studio;Suite BI et reporting en libre-service (par utilisateur).
2014;ja;Analytics Studio;セルフサービスBI/レポーティング製品 (ユーザー単位)。
2024;de;Förderbandmotor M-3;3 kW Industriemotor für Förderbänder.
2024;ja;コンベヤモータ M-3;コンベヤ用 3 kW 産業用モータ。
